"LocCodigo";"LocNombre";"SHAPE_Leng";"SHAPE_Area";"cod_loc";"loc";"NOMBRE_ESTANDAR";"Año";"Ingreso"
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2011;709623,2824
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2014;890722,8872
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2015;951024,82666344
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2016;1007705,90633258
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2017;901700,7099
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2018;931186,32311373
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2019;966943,877921297
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2020;981351,341702324
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2021;1032970,42227587
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2022;1162401,61618703
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2023;1280385,38023002
15;15;0,108973020746;0,0003973413656;15;"Antonio Nariño";"ANTONIO NARINO";2024;1346965,42000198
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2011;1219206,998
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2014;1334957,327
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2015;1425333,9380379
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2016;1510283,84074496
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2017;1650302,577
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2018;1704267,4712679
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2019;1769711,34216459
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2020;1796080,04116284
12;12;0,121180171119;0,000969405684149;12;"Barrios Unidos";"BARRIOS UNIDOS";2021;1890553,851328
